Raw Sensor Values 	 red: 293	 green: 260	 blue: 239
Mapped Sensor Values 	 red: 73	 green: 65	 blue: 59
Raw Sensor Values 	 red: 11	 green: 11	 blue: 7
Mapped Sensor Values 	 red: 2	 green: 2	 blue: 1
Raw Sensor Values 	 red: 6	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 1	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 63	 green: 55	 blue: 68
Mapped Sensor Values 	 red: 15	 green: 13	 blue: 17
Raw Sensor Values 	 red: 86	 green: 70	 blue: 77
Mapped Sensor Values 	 red: 21	 green: 17	 blue: 19
Raw Sensor Values 	 red: 86	 green: 77	 blue: 67
Mapped Sensor Values 	 red: 21	 green: 19	 blue: 16
Raw Sensor Values 	 red: 91	 green: 70	 blue: 75
Mapped Sensor Values 	 red: 22	 green: 17	 blue: 18
Raw Sensor Values 	 red: 92	 green: 69	 blue: 73
Mapped Sensor Values 	 red: 23	 green: 17	 blue: 18
Raw Sensor Values 	 red: 99	 green: 62	 blue: 80
Mapped Sensor Values 	 red: 24	 green: 15	 blue: 20
Raw Sensor Values 	 red: 92	 green: 68	 blue: 83
Mapped Sensor Values 	 red: 23	 green: 17	 blue: 20
Raw Sensor Values 	 red: 83	 green: 71	 blue: 85
Mapped Sensor Values 	 red: 20	 green: 17	 blue: 21
Raw Sensor Values 	 red: 87	 green: 74	 blue: 82
Mapped Sensor Values 	 red: 21	 green: 18	 blue: 20
Raw Sensor Values 	 red: 87	 green: 78	 blue: 70
Mapped Sensor Values 	 red: 21	 green: 19	 blue: 17
Raw Sensor Values 	 red: 94	 green: 77	 blue: 76
Mapped Sensor Values 	 red: 23	 green: 19	 blue: 19
Raw Sensor Values 	 red: 94	 green: 76	 blue: 77
Mapped Sensor Values 	 red: 23	 green: 19	 blue: 19
Raw Sensor Values 	 red: 105	 green: 65	 blue: 82
Mapped Sensor Values 	 red: 26	 green: 16	 blue: 20
Raw Sensor Values 	 red: 105	 green: 65	 blue: 83
Mapped Sensor Values 	 red: 26	 green: 16	 blue: 20
Raw Sensor Values 	 red: 104	 green: 65	 blue: 84
Mapped Sensor Values 	 red: 26	 green: 16	 blue: 21
Raw Sensor Values 	 red: 378	 green: 281	 blue: 346
Mapped Sensor Values 	 red: 94	 green: 70	 blue: 86
Raw Sensor Values 	 red: 402	 green: 312	 blue: 332
Mapped Sensor Values 	 red: 100	 green: 78	 blue: 83
Raw Sensor Values 	 red: 350	 green: 344	 blue: 326
Mapped Sensor Values 	 red: 87	 green: 86	 blue: 81
Raw Sensor Values 	 red: 368	 green: 315	 blue: 352
Mapped Sensor Values 	 red: 92	 green: 78	 blue: 88
Raw Sensor Values 	 red: 398	 green: 294	 blue: 345
Mapped Sensor Values 	 red: 99	 green: 73	 blue: 86
Raw Sensor Values 	 red: 388	 green: 323	 blue: 314
Mapped Sensor Values 	 red: 97	 green: 80	 blue: 78
Raw Sensor Values 	 red: 356	 green: 338	 blue: 316
Mapped Sensor Values 	 red: 89	 green: 84	 blue: 79
Raw Sensor Values 	 red: 362	 green: 316	 blue: 348
Mapped Sensor Values 	 red: 90	 green: 79	 blue: 87
Raw Sensor Values 	 red: 400	 green: 292	 blue: 353
Mapped Sensor Values 	 red: 100	 green: 73	 blue: 88
Raw Sensor Values 	 red: 380	 green: 333	 blue: 309
Mapped Sensor Values 	 red: 95	 green: 83	 blue: 77
Raw Sensor Values 	 red: 347	 green: 338	 blue: 330
Mapped Sensor Values 	 red: 86	 green: 84	 blue: 82
Raw Sensor Values 	 red: 372	 green: 310	 blue: 353
Mapped Sensor Values 	 red: 93	 green: 77	 blue: 88
Raw Sensor Values 	 red: 398	 green: 298	 blue: 343
Mapped Sensor Values 	 red: 99	 green: 74	 blue: 85
Raw Sensor Values 	 red: 385	 green: 330	 blue: 312
Mapped Sensor Values 	 red: 96	 green: 82	 blue: 78
Raw Sensor Values 	 red: 352	 green: 345	 blue: 325
Mapped Sensor Values 	 red: 88	 green: 86	 blue: 81
Raw Sensor Values 	 red: 366	 green: 319	 blue: 351
Mapped Sensor Values 	 red: 91	 green: 79	 blue: 87
Raw Sensor Values 	 red: 395	 green: 296	 blue: 349
Mapped Sensor Values 	 red: 98	 green: 74	 blue: 87
Raw Sensor Values 	 red: 392	 green: 322	 blue: 316
Mapped Sensor Values 	 red: 98	 green: 80	 blue: 79
Raw Sensor Values 	 red: 354	 green: 339	 blue: 314
Mapped Sensor Values 	 red: 88	 green: 84	 blue: 78
Raw Sensor Values 	 red: 358	 green: 320	 blue: 347
Mapped Sensor Values 	 red: 89	 green: 80	 blue: 86
Raw Sensor Values 	 red: 395	 green: 293	 blue: 353
